1732664246-16,https://sn.coinafrique.com/categorie/villas?page=119,Location villa 4 pièces - Amitie 3,https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-amitie-3-1969321,6,4,350 m2,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1732664249-17,https://sn.coinafrique.com/categorie/villas?page=119,Vente villas 3 pièces - Thies,https://sn.coinafrique.com/annonce/villas/vente-villas-3-pieces-thies-1969363,3,2,300,"Thies, Sénégal"
1732664252-18,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villa R+1 - Thiaroye Azur,https://sn.coinafrique.com/annonce/villas/vente-villa-r1-thiaroye-azur-1969858,3,1,160 m2,"Patte d'Oie, Dakar, Sénégal"
1732664254-19,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villa - Maristes,https://sn.coinafrique.com/annonce/villas/vente-villa-maristes-1969921,,,,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
1732664257-20,https://sn.coinafrique.com/categorie/villas?page=119,Vente villa - Rufisque,https://sn.coinafrique.com/annonce/villas/vente-villa-rufisque-1970118,150 m2,,,"Biscuiterie, Dakar, Sénégal"
1732664259-21,https://sn.coinafrique.com/categorie/villas?page=119,Vente villa 200m2 à Zac Mbao,https://sn.coinafrique.com/annonce/villas/vente-villa-200m2-a-zac-mbao-1970361,5,5,200 m2,"Rufisque, Sénégal"
1732664262-22,https://sn.coinafrique.com/categorie/villas?page=119,Location Villa 3 pièces - Point E,https://sn.coinafrique.com/annonce/villas/location-villa-3-pieces-point-e-1970765,3,4,250,"Dakar, Sénégal"
1732664265-23,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villas Dakar,https://sn.coinafrique.com/annonce/villas/vente-villas-dakar-1971017,200 m2,,,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
1732664267-24,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villa,https://sn.coinafrique.com/annonce/villas/vente-villa-1971199,4,2,150 m2,Sénégal
1732664270-25,https://sn.coinafrique.com/categorie/villas?page=119,Vente villa R+3 - Keur Khadim,https://sn.coinafrique.com/annonce/villas/vente-villa-r3-keur-khadim-1971426,6,3,200 m2,Sénégal
1732664273-26,https://sn.coinafrique.com/categorie/villas?page=119,Location villa 6 pièces - Liberté 6,https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-liberte-6-1972167,6,4,1 m2,"Sicap-Liberté, Dakar, Sénégal"
1732664276-27,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villas 6 pièces - Mermoz-Sacré Coeur,https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-mermoz-sacre-coeur-1973103,6,5,300,"Mermoz-Sacré Coeur, Dakar, Sénégal"
1732664278-28,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villas 4 pièces - Thies,https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-thies-1973402,4,2,150,"Thies, Sénégal"
1732664284-29,https://sn.coinafrique.com/categorie/villas?page=119,Vente Villa Petit Mbao,https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-1973500,4,1,300 m2,"Fass, Dakar, Sénégal"
1732664288-30,https://sn.coinafrique.com/categorie/villas?page=119,Vente Maison Keur Massar,https://sn.coinafrique.com/annonce/villas/vente-maison-keur-massar-1973693,14,4,180 m2,"Keur Massar, Sénégal"
